Date start:01/01/2019;Date stop:30/06/2019
Data;WTE2.L1.WTG1.Status.WTG Event;WTE2.L1.WTG2.Status.WTG Event;WTE2.L1.WTG3.Status.WTG Event;WTE2.L2.WTG12.Status.WTG Event;WTE2.L2.WTG13.Status.WTG Event;WTE2.L2.WTG14.Status.WTG Event;
2019/01/25 05:25:18;0;;;;;;
2019/01/25 13:09:07;null;null;null;null;null;null;
2019/01/25 13:13:08;;0;;0;;0;
2019/01/25 13:13:09;0;;0;;0;;
2019/01/25 15:56:54;;;356;;;;
2019/01/25 15:57:54;;;0;;;;
2019/01/25 17:17:04;;;;;356;;
2019/01/25 17:18:04;;;;;0;;
2019/01/25 17:19:35;;;;;356;;
2019/01/25 17:20:35;;;;;0;;
2019/01/25 17:29:27;;;;;356;;
2019/01/25 17:30:27;;;;;0;;
2019/01/25 19:58:11;;;356;;;;
2019/01/25 19:58:58;;;356;;;;
2019/01/25 19:59:11;;;0;;;;
2019/01/26 00:00:37;null;null;null;null;null;null;
2019/01/26 00:00:56;0;0;0;;;;
2019/01/26 00:00:58;;;;0;0;0;
2019/01/26 01:59:16;;;;;;338;
2019/01/26 02:00:22;;;;;;0;
2019/01/26 04:02:04;null;null;null;null;null;null;
2019/01/26 04:02:33;0;0;0;;;;
2019/01/26 04:02:33;;;;0;0;;
2019/01/26 04:02:33;;;;;;0;
2019/01/26 09:18:49;;;153;;;;
2019/01/26 09:19:49;;;0;;;;
2019/01/27 00:00:37;null;null;null;null;null;null;
2019/01/27 00:00:55;;;;0;0;0;
2019/01/27 00:00:56;0;0;0;;;;
2019/01/27 07:25:49;309;309;309;;;;
2019/01/27 07:25:50;;;;309;;309;
2019/01/27 07:25:55;;;;;309;;
2019/01/27 07:34:41;;315;;;;;
2019/01/27 07:34:47;;;;;315;315;
2019/01/27 07:34:56;null;;;;;;
2019/01/27 07:35:12;;;null;;;;
2019/01/27 07:35:12;;;;null;;;
2019/01/27 07:35:17;;;;;182;;
2019/01/27 07:35:22;;;;;;182;
2019/01/27 07:35:48;;;;;;null;
2019/01/27 07:35:58;;;;;null;;
2019/01/27 07:36:02;;null;;;;;
2019/01/27 13:40:18;;;;;;182;
2019/01/27 13:40:36;;315;;;;;
2019/01/27 13:40:38;;;;;182;;
2019/01/27 13:41:13;;;;;;0;
2019/01/27 13:41:21;;;0;;;;
2019/01/27 13:42:26;315;;;;;;
2019/01/27 13:46:10;;;;0;;;
2019/01/27 13:50:48;;0;;;;;
2019/01/27 13:50:53;0;;;;;;
2019/01/27 13:52:11;;;;;0;;
2019/01/27 14:26:23;;309;;;;;
2019/01/27 14:26:28;;;309;;;;
2019/01/27 14:26:35;;;;309;;;
2019/01/27 14:26:40;;;;;309;;
2019/01/27 14:26:45;;;;;;309;
2019/01/27 14:30:04;309;;;;;;
2019/01/27 16:34:24;0;;;;;;
2019/01/27 16:34:55;;;;;893;893;
2019/01/27 16:35:00;;;;0;;;
2019/01/27 16:35:04;;893;;;;;
2019/01/27 16:36:29;;;0;;;;
2019/01/27 16:37:11;;;;;309;;
2019/01/27 16:39:52;;;;;;0;
2019/01/27 16:40:32;;;;;0;;
2019/01/27 16:42:36;;0;;;;;
2019/01/28 00:00:47;null;null;null;null;null;null;
2019/01/28 00:01:04;0;0;0;;;;
2019/01/28 00:01:05;;;;0;0;0;
2019/01/29 00:00:37;null;null;null;null;null;null;
2019/01/29 00:00:56;0;0;0;;;;
2019/01/29 00:00:57;;;;0;0;0;
2019/01/29 01:57:41;null;;;;;;
2019/01/29 02:02:07;30;;;;;;
2019/01/29 02:03:12;0;;;;;;
2019/01/29 02:58:25;;;;null;;;
2019/01/29 03:02:57;;;;0;;;
2019/01/29 03:03:27;;;;30;;;
2019/01/29 03:03:53;;;;0;;;
2019/01/29 10:23:37;;;83;;;;
2019/01/29 10:24:37;;;0;;;;
2019/01/29 13:57:32;276;;;;;;
2019/01/29 14:24:33;0;;;;;;
2019/01/29 16:37:12;309;309;309;;;;
2019/01/29 16:37:16;;;;309;309;309;
2019/01/29 16:40:08;;315;;;;;
2019/01/29 16:40:17;;;;;315;315;
2019/01/29 16:40:28;;;null;;;;
2019/01/29 16:40:37;;;;null;;;
2019/01/29 16:40:43;null;;;;;;
2019/01/29 16:41:12;315;;;;;;
2019/01/29 16:41:12;;;;;;182;
2019/01/29 16:41:22;;;;;null;;
2019/01/29 16:41:23;null;;;;;;
2019/01/29 16:41:28;;;;;;null;
2019/01/29 16:41:28;;null;;;;;
2019/01/29 17:44:55;315;315;;;;;
2019/01/29 17:46:05;;;;309;;;
2019/01/29 17:46:10;;;0;;;;
2019/01/29 17:46:15;;;;0;;;
2019/01/29 17:46:45;;;;;315;;
2019/01/29 17:46:50;;;;;;182;
2019/01/29 17:48:35;0;0;;;;;
2019/01/29 17:48:40;;;;;0;0;
2019/01/29 17:49:30;;893;;;;;
2019/01/29 17:49:35;;;;;893;893;
2019/01/29 17:49:35;893;;893;;;;
2019/01/29 17:52:51;;0;;;;;
2019/01/29 17:53:21;;;0;;;;
2019/01/29 17:54:11;0;;;;;;
2019/01/29 17:54:32;;;;;;0;
2019/01/29 17:55:37;;;;;0;;
2019/01/30 00:00:37;null;null;null;null;null;null;
2019/01/30 00:00:56;;;;0;0;0;
2019/01/30 00:00:57;0;0;0;;;;
2019/01/30 07:06:01;309;;;;;;
2019/01/30 07:06:06;;309;309;;;;
2019/01/30 07:06:13;;;;;309;309;
2019/01/30 07:07:42;;315;;;;;
2019/01/30 07:08:03;;;;;315;315;
2019/01/30 07:08:07;null;;null;;;;
2019/01/30 07:08:08;;;;null;;;
2019/01/30 07:08:22;315;;;;;;
2019/01/30 07:08:52;null;;;;;;
2019/01/30 07:09:02;;null;;;;;
2019/01/30 07:09:08;;;;;;null;
2019/01/30 07:09:13;;;;;null;;
2019/01/30 13:40:44;;;;0;;;
2019/01/30 13:41:29;;;;894;;;
2019/01/30 13:41:34;;;;0;;;
2019/01/30 13:45:36;;;0;;;;
2019/01/30 13:48:02;315;;;;;;
2019/01/30 13:48:30;;;;;315;;
2019/01/30 13:49:37;0;;;;;;
2019/01/30 13:49:40;;;;;0;;
2019/01/30 13:49:52;893;;;;;;
2019/01/30 13:50:01;;;;;893;;
2019/01/30 13:50:32;;315;;;;;
2019/01/30 13:50:36;;;;;;315;
2019/01/30 13:55:12;;;;;0;;
2019/01/30 13:57:44;0;;;;;;
2019/01/30 13:59:04;;0;;;;;
2019/01/30 14:00:33;;;;;;0;
2019/01/30 14:33:01;;;81;;;;
2019/01/30 14:34:02;;;0;;;;
2019/01/30 16:49:09;;;;356;;;
2019/01/30 16:50:09;;;;0;;;
2019/01/30 16:55:10;;;;;;356;
2019/01/30 16:56:10;;;;;;0;
2019/01/31 00:00:37;null;null;null;null;null;null;
2019/01/31 00:00:57;;;;0;0;0;
2019/01/31 00:00:58;0;0;0;;;;
2019/01/31 10:47:13;null;;;;;;
2019/01/31 14:33:04;893;;;;;;
2019/01/31 14:39:06;900;;;;;;
2019/01/31 14:39:31;0;;;;;;
2019/02/01 00:00:37;null;;;;;;
2019/02/01 00:00:37;;null;null;null;null;null;
2019/02/01 00:00:58;0;0;0;;;;
2019/02/01 00:00:59;;;;0;0;0;
2019/02/01 07:21:54;;null;;;;;
2019/02/01 07:38:17;null;;;;;;
2019/02/01 07:38:23;;;null;;;;
2019/02/01 07:38:43;;;0;;;;
2019/02/01 07:38:53;0;;;;;;
2019/02/01 09:47:01;;;;0;;;
2019/02/01 09:47:01;;;;;0;0;
2019/02/01 09:47:09;0;;0;;;;
2019/02/01 10:20:43;;900;;;;;
2019/02/01 10:20:53;;0;;;;;
2019/02/02 00:00:38;null;null;null;null;null;null;
2019/02/02 00:00:55;0;0;0;;;;
2019/02/02 00:00:57;;;;0;0;0;
2019/02/02 00:08:43;;;;null;;;
2019/02/02 00:13:14;;;;30;;;
2019/02/02 00:14:10;;;;0;;;
2019/02/03 00:00:47;null;null;null;null;null;null;
2019/02/03 00:01:04;;;;0;;0;
2019/02/03 00:01:09;;;;;0;;
2019/02/03 00:01:09;0;0;0;;;;
2019/02/03 11:34:45;null;null;null;null;null;null;
2019/02/03 12:01:54;;;;0;0;0;
2019/02/03 12:01:58;0;0;0;;;;
2019/02/03 13:18:16;null;null;null;null;null;null;
2019/02/03 13:40:55;;;;0;;0;
2019/02/03 13:40:55;0;0;0;;0;;
2019/02/03 17:23:24;null;null;null;null;null;null;
2019/02/03 17:32:27;;;;0;;0;
2019/02/03 17:32:27;0;0;0;;0;;
2019/02/03 18:24:54;null;null;null;null;null;null;
2019/02/03 18:35:25;;;;0;;;
2019/02/03 18:35:26;;;;;;0;
2019/02/03 18:35:26;0;0;0;;0;;
2019/02/03 18:40:39;null;null;null;null;null;null;
2019/02/03 19:08:20;;;;0;;;
2019/02/03 19:08:20;0;0;0;;0;0;
2019/02/04 00:00:47;null;null;null;null;null;null;
2019/02/04 00:01:05;0;0;0;;;;
2019/02/04 00:01:07;;;;0;0;0;
2019/02/04 15:00:47;null;null;null;null;null;null;
2019/02/04 15:14:26;0;0;0;;;;
2019/02/04 15:14:28;;;;0;0;0;
2019/02/04 15:42:26;null;null;null;null;null;null;
2019/02/04 15:43:05;0;0;0;;;;
2019/02/04 15:43:05;;;;0;0;0;
2019/02/04 15:47:45;null;null;null;null;null;null;
2019/02/04 15:51:14;0;0;0;;;;
2019/02/04 15:51:14;;;;0;0;0;
2019/02/04 16:34:27;null;null;null;null;null;null;
2019/02/04 16:51:26;0;0;0;0;0;0;
2019/02/04 17:52:18;144;;;;;;
2019/02/04 18:20:44;;;144;;;;
2019/02/04 18:20:49;;;84;;;;
2019/02/04 18:21:49;;;144;;;;
2019/02/04 18:23:00;;144;;;;;
2019/02/04 18:34:32;;;0;;;;
2019/02/04 19:24:49;;;144;;;;
2019/02/04 19:24:54;;;191;;;;
2019/02/04 19:25:54;;;144;;;;
2019/02/04 19:36:16;;;0;;;;
2019/02/04 19:42:32;;0;;;;;
2019/02/04 21:22:35;0;;;;;;
2019/02/05 00:00:38;null;null;null;null;null;null;
2019/02/05 00:00:59;0;0;0;;;;
2019/02/05 00:01:01;;;;0;0;0;
2019/02/06 00:00:48;null;null;null;null;null;null;
2019/02/06 00:01:06;0;0;0;;;;
2019/02/06 00:01:09;;;;0;0;0;
2019/02/06 04:15:07;;;176;;;;
2019/02/06 04:16:57;;;0;;;;
2019/02/06 07:05:43;;;338;;;;
2019/02/06 07:06:48;;;0;;;;
2019/02/06 07:32:24;;144;;;;;
2019/02/06 07:33:54;144;;;;;;
2019/02/06 07:34:19;;;144;;;;
2019/02/06 07:47:10;;;;144;;;
