Date start:22/06/2018;Date stop:31/12/2018
Data;Marsica I.L1.CM1.Status.WTG Event;Marsica I.L1.R1.Status.WTG Event;Marsica I.L1.R2.Status.WTG Event;Marsica I.L1.R3.Status.WTG Event;
2018/09/01 00:00:56;0;0;0;0;
2018/09/02 00:00:47;null;null;null;null;
2018/09/02 00:01:05;0;0;0;0;
2018/09/02 00:34:53;;;null;;
2018/09/02 00:37:08;;;222;;
2018/09/02 00:37:39;;;223;;
2018/09/02 00:37:54;;;224;;
2018/09/02 01:48:45;;;0;;
2018/09/02 14:08:18;;;null;;
2018/09/02 14:10:34;;;222;;
2018/09/02 14:11:04;;;223;;
2018/09/02 14:11:34;;;224;;
2018/09/02 14:12:50;;;0;;
2018/09/03 00:00:47;null;;null;null;
2018/09/03 00:00:47;;null;;;
2018/09/03 00:01:01;0;0;0;0;
2018/09/03 06:15:17;;;null;;
2018/09/03 06:17:27;;;222;;
2018/09/03 06:18:02;;;223;;
2018/09/03 06:18:22;;;224;;
2018/09/03 06:57:17;;;0;;
2018/09/04 00:00:47;null;null;null;null;
2018/09/04 00:01:05;0;0;0;0;
2018/09/04 11:09:30;;;null;null;
2018/09/04 11:09:45;;;;0;
2018/09/04 11:09:55;;;0;;
2018/09/04 17:08:02;334;;;;
2018/09/04 17:08:07;315;315;;315;
2018/09/04 17:08:27;;;null;;
2018/09/04 17:09:02;null;null;;null;
2018/09/04 19:11:28;222;222;;222;
2018/09/04 19:12:43;223;;;223;
2018/09/04 19:12:53;;223;223;;
2018/09/04 19:13:08;224;;;224;
2018/09/04 19:13:13;;;224;;
2018/09/04 19:13:18;;224;;;
2018/09/04 19:14:24;;;0;;
2018/09/04 19:14:29;0;;;0;
2018/09/04 19:14:54;;0;;;
2018/09/05 00:00:37;null;null;null;null;
2018/09/05 00:00:50;0;0;0;0;
2018/09/06 00:00:37;null;null;null;null;
2018/09/06 00:01:07;0;0;0;0;
2018/09/07 00:00:37;null;null;null;null;
2018/09/07 00:00:49;0;;0;0;
2018/09/07 00:00:49;;0;;;
2018/09/08 00:00:37;null;null;null;null;
2018/09/08 00:00:50;0;0;0;0;
2018/09/09 00:00:37;null;null;null;null;
2018/09/09 00:00:52;0;0;0;0;
2018/09/10 00:00:37;null;null;null;null;
2018/09/10 00:00:50;0;0;0;0;
2018/09/10 17:44:23;;;null;;
2018/09/10 17:46:39;;;222;;
2018/09/10 17:47:09;;;223;;
2018/09/10 17:47:35;;;224;;
2018/09/10 17:47:45;;;0;;
2018/09/10 17:56:13;;176;;;
2018/09/10 17:57:28;;224;;;
2018/09/10 17:59:19;;176;;;
2018/09/10 18:03:51;;224;;;
2018/09/10 19:13:01;;900;;;
2018/09/10 19:13:06;;224;;;
2018/09/10 19:16:03;;0;;;
2018/09/11 00:00:47;null;null;null;null;
2018/09/11 00:01:02;0;0;0;0;
2018/09/11 10:16:22;null;null;null;null;
2018/09/11 10:22:11;0;0;0;;
2018/09/11 10:22:11;;;;0;
2018/09/11 16:42:10;null;null;null;null;
2018/09/11 17:29:40;0;0;0;0;
2018/09/11 17:48:52;null;null;null;null;
2018/09/11 18:29:52;0;0;0;0;
2018/09/12 00:00:37;null;null;null;null;
2018/09/12 00:00:52;0;0;0;0;
2018/09/12 09:55:03;;null;;;
2018/09/12 10:22:34;275;;;;
2018/09/12 10:50:01;224;;;;
2018/09/12 11:12:10;0;;;;
2018/09/12 11:19:48;;224;;;
2018/09/12 11:23:19;;0;;;
2018/09/12 11:25:35;;;null;;
2018/09/12 17:41:49;;;0;;
2018/09/13 00:00:47;null;null;null;null;
2018/09/13 00:01:03;0;0;0;0;
2018/09/13 09:48:48;;;;null;
2018/09/13 11:18:15;;;;224;
2018/09/13 11:46:52;null;;;;
2018/09/13 12:18:40;;;;0;
2018/09/13 12:19:26;;275;;;
2018/09/13 12:47:12;;224;;;
2018/09/13 12:50:33;;0;;;
2018/09/13 13:37:31;0;;;;
2018/09/13 16:08:21;;;;275;
2018/09/13 16:35:48;;;;224;
2018/09/13 16:48:13;;;;0;
2018/09/14 00:00:37;null;null;null;null;
2018/09/14 00:00:52;0;0;0;0;
2018/09/14 17:07:40;;;275;;
2018/09/14 17:35:46;;;224;;
2018/09/14 17:36:52;;;0;;
2018/09/14 20:37:33;null;null;null;null;
2018/09/14 20:44:34;0;0;0;0;
2018/09/15 00:00:37;null;null;null;null;
2018/09/15 00:00:52;0;0;0;0;
2018/09/15 14:42:44;275;;;;
2018/09/15 15:14:58;224;;;;
2018/09/15 15:39:19;0;;;;
2018/09/15 16:40:56;;275;;;
2018/09/15 17:08:28;;224;;;
2018/09/15 17:12:19;;0;;;
2018/09/16 00:00:37;null;null;null;null;
2018/09/16 00:00:52;0;0;0;0;
2018/09/17 00:00:37;null;null;null;null;
2018/09/17 00:00:51;0;0;0;0;
2018/09/17 17:14:36;315;315;;;
2018/09/17 17:14:41;;;;315;
2018/09/17 17:14:56;;;null;;
2018/09/17 17:15:42;null;null;;null;
2018/09/17 17:32:42;;;;222;
2018/09/17 17:32:52;222;;;;
2018/09/17 17:33:07;;222;;;
2018/09/17 17:33:23;;;;223;
2018/09/17 17:33:28;223;;;;
2018/09/17 17:33:33;;223;;;
2018/09/17 17:33:38;;;223;;
2018/09/17 17:33:43;;;224;224;
2018/09/17 17:33:48;;224;;;
2018/09/17 17:33:53;224;;;;
2018/09/17 17:35:03;0;;;;
2018/09/17 17:38:10;;;;0;
