Date start:01/01/2019;Date stop:30/06/2019
Data;Pescina Wind.L1.WTG4.Status.WTG Event;Pescina Wind.L1.WTG5.Status.WTG Event;Pescina Wind.L1.WTG6.Status.WTG Event;Pescina Wind.L1.WTG8.Status.WTG Event;Pescina Wind.L2.WTG10.Status.WTG Event;Pescina Wind.L2.WTG11.Status.WTG Event;Pescina Wind.L2.WTG7.Status.WTG Event;Pescina Wind.L2.WTG9.Status.WTG Event;
2019/01/14 15:43:50;;0;;;;;;;
2019/01/15 00:00:37;null;null;null;null;null;null;null;null;
2019/01/15 00:00:58;;;;;0;0;0;0;
2019/01/15 00:00:59;0;0;0;0;;;;;
2019/01/15 05:28:14;;;;;;356;;;
2019/01/15 05:29:09;;;;;;0;;;
2019/01/15 07:32:59;;;;;;;null;;
2019/01/15 08:46:04;;;;;;;0;;
2019/01/15 08:50:34;;;;null;;;;;
2019/01/15 08:57:01;null;;;;;;;;
2019/01/15 10:10:42;;;;900;;;;;
2019/01/15 10:13:50;;;;;;;;null;
2019/01/15 10:13:53;;;;0;;;;;
2019/01/15 10:14:54;0;;;;;;;;
2019/01/15 10:32:10;;null;;;;;;;
2019/01/15 10:53:52;0;;0;0;;;;;
2019/01/15 10:53:53;;;;;0;0;0;;
2019/01/15 11:40:35;;0;;;;;;;
2019/01/15 11:41:09;;;;;;;;0;
2019/01/15 11:43:21;;;null;;;;;;
2019/01/15 12:03:41;0;;;0;0;0;0;;
2019/01/15 12:03:42;;0;;;;;;;
2019/01/15 12:03:46;;;;;;;;0;
2019/01/15 12:33:04;;;0;;;;;;
2019/01/15 12:38:24;;;;;null;;;;
2019/01/15 12:50:07;0;;;0;;;;;
2019/01/15 12:50:07;;;;;;0;0;;
2019/01/15 12:50:12;;0;;;;;;0;
2019/01/15 12:50:16;;;0;;;;;;
2019/01/15 13:36:44;;;;;;;null;;
2019/01/15 13:46:52;;;;;893;;;;
2019/01/15 13:49:53;;;;;;null;;;
2019/01/15 13:50:43;;;;;900;;;;
2019/01/15 13:53:44;;;;;0;;;;
2019/01/15 15:12:21;;;;;;0;;;
2019/01/15 15:20:24;;;;;;;0;;
2019/01/16 00:00:37;null;null;null;null;null;null;null;null;
2019/01/16 00:00:55;0;0;0;0;;;;;
2019/01/16 00:00:57;;;;;0;0;0;0;
2019/01/16 07:20:24;;;;null;;;;;
2019/01/16 08:38:13;;;;0;;;;;
2019/01/16 08:44:33;;;;;;;;null;
2019/01/16 10:02:25;;;;;;;;0;
2019/01/16 10:06:21;;;;;null;;;;
2019/01/16 11:36:28;null;null;null;null;;null;null;null;
2019/01/16 11:38:19;;;;;0;;;;
2019/01/16 11:42:10;;;;;;null;;;
2019/01/16 11:42:56;0;;;;;;;;
2019/01/16 11:42:57;;0;0;;;;0;;
2019/01/16 11:42:57;;;;0;;;;0;
2019/01/16 11:42:59;;;;;0;;;;
2019/01/16 12:45:58;;;;;;0;;;
2019/01/17 00:00:37;null;null;null;null;null;null;null;null;
2019/01/17 00:00:55;0;0;0;0;;;;;
2019/01/17 00:00:56;;;;;0;0;0;0;
2019/01/17 09:28:54;0;0;0;0;;;;;
2019/01/17 09:28:57;;;;;0;0;0;0;
2019/01/18 00:00:47;null;null;null;null;null;null;null;null;
2019/01/18 00:01:06;0;0;0;0;;;;;
2019/01/18 00:01:09;;;;;0;0;0;0;
2019/01/19 00:00:37;null;null;null;null;null;null;null;null;
2019/01/19 00:00:54;0;0;0;0;;;;;
2019/01/19 00:00:54;;;;;0;;0;0;
2019/01/19 00:00:59;;;;;;0;;;
2019/01/19 20:05:11;;;;;;;null;;
2019/01/19 20:05:11;;;;;null;null;;null;
2019/01/19 20:05:30;null;null;null;null;;;;;
2019/01/19 20:05:40;0;0;0;0;;;;;
2019/01/19 20:05:44;;;;;0;0;0;0;
2019/01/20 00:00:47;null;null;null;null;;;null;;
2019/01/20 00:00:47;;;;;null;null;;null;
2019/01/20 00:01:08;;;;;0;0;0;0;
2019/01/20 00:01:09;0;0;0;0;;;;;
2019/01/20 15:28:38;;;;;275;;;;
2019/01/20 15:55:32;;;;;0;;;;
2019/01/21 00:00:37;null;null;null;null;null;null;null;null;
2019/01/21 00:01:00;;;;;0;0;0;0;
2019/01/21 00:01:00;0;0;0;0;;;;;
2019/01/21 10:29:13;0;0;0;0;;;;;
2019/01/21 10:29:13;;;;;0;0;0;0;
2019/01/21 11:25:44;0;0;0;0;;;;;
2019/01/21 11:25:45;;;;;0;0;0;0;
2019/01/21 11:29:05;0;0;0;0;;;;;
2019/01/21 11:29:06;;;;;0;0;0;0;
2019/01/21 14:36:27;null;null;null;null;null;null;null;null;
2019/01/21 15:12:58;0;0;0;0;;;0;;
2019/01/21 15:12:58;;;;;0;0;;0;
2019/01/22 00:00:37;null;null;null;null;null;null;null;null;
2019/01/22 00:00:58;0;0;0;0;;;;;
2019/01/22 00:00:59;;;;;0;0;0;0;
2019/01/22 11:07:58;;;;;;;85;;
2019/01/22 11:08:58;;;;;;;0;;
