Date start:22/06/2018;Date stop:31/12/2018
Data;Marsica II.L1.V1.Status.WTG Event;Marsica II.L1.V2.Status.WTG Event;Marsica II.L2.CM2.Status.WTG Event;Marsica II.L2.CM3.Status.WTG Event;Marsica II.L3.G1.Status.WTG Event;Marsica II.L3.G2.Status.WTG Event;Marsica II.L4.MC1.Status.WTG Event;Marsica II.L4.MC2.Status.WTG Event;Marsica II.L5.A1.Status.WTG Event;Marsica II.L5.A4.Status.WTG Event;Marsica II.L5.A6.Status.WTG Event;Marsica II.L6.A2.Status.WTG Event;Marsica II.L6.A3.Status.WTG Event;Marsica II.L6.A5.Status.WTG Event;
2018/07/12 10:31:27;;;;;;;;;;;0;;;;
2018/07/12 13:37:24;;;0;0;0;0;;;;;;;;0;
2018/07/12 13:37:25;;;;;;;;;;;;0;;;
2018/07/12 13:37:27;0;0;;;;;0;;0;0;0;;;;
2018/07/12 13:50:21;;;;;;;;;;;;;0;;
2018/07/12 15:33:38;;;;;;;;0;;;;;;;
2018/07/12 16:56:24;;;null;null;;;;;;;;;;;
2018/07/12 17:36:33;;;0;0;;;;;;;;;;;
2018/07/12 18:41:24;;;null;null;;;;;;;;;;;
2018/07/12 18:44:05;;;0;0;;;;;;;;;;;
2018/07/12 18:45:55;;;null;null;;;;;;;;;;;
2018/07/12 18:48:31;;;0;0;;;;;;;;;;;
2018/07/13 00:00:37;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018/07/13 00:00:48;;0;;;;;0;0;;;;;;;
2018/07/13 00:00:49;;;;;;;;;;;;0;0;0;
2018/07/13 00:00:49;;;;;;;;;0;0;0;;;;
2018/07/13 00:00:50;;;0;0;;;;;;;;;;;
2018/07/13 00:00:51;;;;;0;0;;;;;;;;;
2018/07/13 00:00:53;0;;;;;;;;;;;;;;
2018/07/13 07:35:54;;;;;;;;null;;;;;;;
2018/07/13 08:48:54;;;;;;;;0;;;;;;;
2018/07/13 09:53:10;null;null;;;;;;;;;;;;;
2018/07/13 09:53:10;;;null;null;;;;;;;;;;;
2018/07/13 09:53:10;;;;;null;;;;;;;;;;
2018/07/13 09:53:10;;;;;;null;;;;;;;;;
2018/07/13 09:53:11;;;;;;;null;;;;;;;;
2018/07/13 09:53:11;;;;;;;;null;;null;;;;;
2018/07/13 09:53:11;;;;;;;;;;;null;;;;
2018/07/13 09:53:13;;0;;;;;0;0;;;;;;;
2018/07/13 09:53:14;;;;;;;;;null;;;;;;
